Date,Time,Lat,Lon
18/1/2026,6:51:24,14.2144,101.179393
18/1/2026,6:51:25,14.214407,101.179394
18/1/2026,6:51:26,14.214414,101.179391
18/1/2026,6:51:27,14.214419,101.179389
18/1/2026,6:51:28,14.214427,101.179389
18/1/2026,6:51:29,14.214438,101.179389
18/1/2026,6:51:30,14.214449,101.17939
18/1/2026,6:51:31,14.214456,101.179396
18/1/2026,6:51:32,14.214464,101.179402
18/1/2026,6:51:33,14.214473,101.179404
18/1/2026,6:51:34,14.214482,101.179404
18/1/2026,6:51:35,14.214488,101.179404
18/1/2026,6:51:36,14.214493,101.179402
18/1/2026,6:51:37,14.214499,101.179396
18/1/2026,6:51:38,14.214504,101.179393
18/1/2026,6:51:39,14.21451,101.179388
18/1/2026,6:51:40,14.214515,101.179384
18/1/2026,6:51:41,14.214519,101.179377
18/1/2026,6:51:42,14.214521,101.17937
18/1/2026,6:51:43,14.214524,101.179363
18/1/2026,6:51:44,14.214526,101.179354
18/1/2026,6:51:45,14.214526,101.179345
18/1/2026,6:51:46,14.214527,101.179336
18/1/2026,6:51:47,14.214528,101.179328
18/1/2026,6:51:48,14.21453,101.179318
18/1/2026,6:51:49,14.214533,101.179308
18/1/2026,6:51:50,14.214536,101.179301
18/1/2026,6:51:51,14.214541,101.179292
18/1/2026,6:51:52,14.214544,101.179282
18/1/2026,6:51:53,14.214546,101.179272
18/1/2026,6:51:54,14.214546,101.179264
18/1/2026,6:51:55,14.214549,101.179254
18/1/2026,6:51:56,14.214553,101.179243
18/1/2026,6:51:57,14.214555,101.179233
18/1/2026,6:51:58,14.214558,101.179225
18/1/2026,6:51:59,14.214562,101.179217
18/1/2026,6:52:0,14.214567,101.179207
18/1/2026,6:52:1,14.214567,101.179197
18/1/2026,6:52:2,14.214566,101.179189
18/1/2026,6:52:3,14.214566,101.179179
18/1/2026,6:52:4,14.214567,101.179168
18/1/2026,6:52:5,14.214567,101.179154
18/1/2026,6:52:6,14.214569,101.179144
18/1/2026,6:52:7,14.214571,101.179137
18/1/2026,6:52:8,14.214574,101.179128
18/1/2026,6:52:9,14.214577,101.179118
18/1/2026,6:52:10,14.214579,101.179108
18/1/2026,6:52:11,14.214581,101.1791
18/1/2026,6:52:12,14.214583,101.179092
18/1/2026,6:52:13,14.214584,101.179083
18/1/2026,6:52:14,14.214583,101.179072
18/1/2026,6:52:15,14.214581,101.179065
18/1/2026,6:52:16,14.214577,101.179058
18/1/2026,6:52:17,14.214575,101.17905
18/1/2026,6:52:18,14.21457,101.179044
18/1/2026,6:52:19,14.214562,101.179041
18/1/2026,6:52:20,14.214558,101.179036
18/1/2026,6:52:21,14.214555,101.179028
18/1/2026,6:52:22,14.214549,101.179022
18/1/2026,6:52:23,14.214543,101.179017
18/1/2026,6:52:24,14.214538,101.179013
18/1/2026,6:52:25,14.214532,101.179008
18/1/2026,6:52:26,14.214524,101.179004
18/1/2026,6:52:27,14.214517,101.179
18/1/2026,6:52:28,14.214512,101.178995
18/1/2026,6:52:29,14.214506,101.17899
18/1/2026,6:52:30,14.214498,101.178983
18/1/2026,6:52:31,14.214491,101.178978
18/1/2026,6:52:32,14.214487,101.178973
18/1/2026,6:52:33,14.214481,101.178969
18/1/2026,6:52:34,14.214474,101.178966
18/1/2026,6:52:35,14.214467,101.178963
18/1/2026,6:52:36,14.214461,101.178957
18/1/2026,6:52:37,14.214454,101.178949
18/1/2026,6:52:38,14.214447,101.178944
18/1/2026,6:52:39,14.21444,101.178939
18/1/2026,6:52:40,14.214434,101.178936
18/1/2026,6:52:41,14.214427,101.178931
18/1/2026,6:52:42,14.214418,101.178926
18/1/2026,6:52:43,14.21441,101.178923
18/1/2026,6:52:44,14.214403,101.178922
18/1/2026,6:52:45,14.214396,101.178923
18/1/2026,6:52:46,14.214386,101.178923
18/1/2026,6:52:47,14.214376,101.178924
18/1/2026,6:52:48,14.214368,101.178926
18/1/2026,6:52:49,14.214359,101.178925
18/1/2026,6:52:50,14.21435,101.178922
18/1/2026,6:52:51,14.21434,101.17892
18/1/2026,6:52:52,14.214332,101.178917
18/1/2026,6:52:53,14.214325,101.178911
18/1/2026,6:52:54,14.214318,101.178905
18/1/2026,6:52:55,14.214312,101.178898
18/1/2026,6:52:56,14.214305,101.178895
18/1/2026,6:52:57,14.214299,101.178892
18/1/2026,6:52:58,14.214291,101.178887
18/1/2026,6:52:59,14.214282,101.178887
18/1/2026,6:53:0,14.214273,101.178889
18/1/2026,6:53:1,14.214263,101.178892
18/1/2026,6:53:2,14.214254,101.178896
18/1/2026,6:53:3,14.214246,101.178903
18/1/2026,6:53:4,14.214239,101.178909
18/1/2026,6:53:5,14.214232,101.178914
18/1/2026,6:53:6,14.214222,101.17892
18/1/2026,6:53:7,14.214212,101.178926
18/1/2026,6:53:8,14.214204,101.178931
18/1/2026,6:53:9,14.214195,101.178933
18/1/2026,6:53:10,14.214186,101.178936
18/1/2026,6:53:11,14.21418,101.178939
18/1/2026,6:53:12,14.214177,101.178941
18/1/2026,6:53:13,14.214174,101.178948
18/1/2026,6:53:14,14.214173,101.178958
18/1/2026,6:53:15,14.214174,101.178967
18/1/2026,6:53:16,14.214173,101.178973
18/1/2026,6:53:17,14.214172,101.178981
18/1/2026,6:53:18,14.214166,101.178992
18/1/2026,6:53:19,14.214164,101.178999
18/1/2026,6:53:20,14.214162,101.179007
18/1/2026,6:53:21,14.214162,101.179015
18/1/2026,6:53:22,14.214163,101.179024
18/1/2026,6:53:23,14.214162,101.179032
18/1/2026,6:53:24,14.214159,101.179039
18/1/2026,6:53:25,14.214158,101.179049
18/1/2026,6:53:26,14.214157,101.179059
18/1/2026,6:53:27,14.214157,101.179064
18/1/2026,6:53:28,14.214157,101.17907
18/1/2026,6:53:29,14.214156,101.179074
18/1/2026,6:53:30,14.214155,101.179081
18/1/2026,6:53:31,14.214156,101.179088
18/1/2026,6:53:32,14.214159,101.179098
18/1/2026,6:53:33,14.214164,101.179106
18/1/2026,6:53:34,14.214167,101.179113
18/1/2026,6:53:35,14.214172,101.179121
18/1/2026,6:53:36,14.214177,101.179132
18/1/2026,6:53:37,14.214181,101.179138
18/1/2026,6:53:38,14.214185,101.179143
18/1/2026,6:53:39,14.214189,101.179148
18/1/2026,6:53:40,14.214197,101.179153
18/1/2026,6:53:41,14.214204,101.179157
18/1/2026,6:53:42,14.214212,101.179164
18/1/2026,6:53:43,14.21422,101.17917
18/1/2026,6:53:44,14.214227,101.179178
18/1/2026,6:53:45,14.214231,101.179185
18/1/2026,6:53:46,14.214233,101.179192
18/1/2026,6:53:47,14.214239,101.179202
18/1/2026,6:53:48,14.214245,101.17921
18/1/2026,6:53:49,14.214249,101.179218
18/1/2026,6:53:50,14.214252,101.179227
18/1/2026,6:53:51,14.214256,101.179235
18/1/2026,6:53:52,14.214259,101.179243
18/1/2026,6:53:53,14.214261,101.179248
18/1/2026,6:53:54,14.214264,101.179254
18/1/2026,6:53:55,14.214265,101.179263
18/1/2026,6:53:56,14.214264,101.179269
18/1/2026,6:53:57,14.214266,101.179276
18/1/2026,6:53:58,14.214269,101.179287
18/1/2026,6:53:59,14.214266,101.179295
18/1/2026,6:54:0,14.214264,101.179302
